Position,"Track Name",Artist,Streams,URL
1,"Nice For What",Drake,5596703,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
2,"God's Plan",Drake,4873908,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
3,"Call Out My Name","The Weeknd",3931263,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
4,"Psycho (feat. Ty Dolla $ign)","Post Malone",3795596,https://open.spotify.com/track/65NwOZqoXny4JxqAPlfxRF
5,"One Kiss (with Dua Lipa)","Calvin Harris",3668743,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
6,FRIENDS,Marshmello,3470101,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
7,X,"Nicky Jam",3355961,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
8,"Freaky Friday (feat. Chris Brown)","Lil Dicky",3249866,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
9,"I Like It","Cardi B",3061892,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
10,"The Middle",Zedd,2875375,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
11,"Love Lies (with Normani)",Khalid,2809379,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
12,IDGAF,"Dua Lipa",2761196,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
13,SAD!,XXXTENTACION,2694294,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
14,"Look Alive (feat. Drake)","BlocBoy JB",2632590,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
15,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,2421593,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
16,Mine,Bazzi,2381221,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR
17,"All The Stars (with SZA)","Kendrick Lamar",2261666,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
18,rockstar,"Post Malone",2050202,https://open.spotify.com/track/2U7Hu2RaNQNRi7izoJyZaX
19,"In My Blood","Shawn Mendes",2044107,https://open.spotify.com/track/79jX8RM5CgPqDKdGEKNW9K
