Position,"Track Name",Artist,Streams,URL
1,"Nice For What",Drake,2799486,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
2,"God's Plan",Drake,1793626,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
3,"I Like It","Cardi B",1636133,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
4,"Psycho (feat. Ty Dolla $ign)","Post Malone",1578067,https://open.spotify.com/track/65NwOZqoXny4JxqAPlfxRF
5,"Look Alive (feat. Drake)","BlocBoy JB",1482717,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
6,"Call Out My Name","The Weeknd",1442113,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
7,SAD!,XXXTENTACION,1321033,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
8,"Plug Walk","Rich The Kid",1213786,https://open.spotify.com/track/6mAz8D1TmlTuef90dbNIiZ
9,"Walk It Talk It",Migos,1138559,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
10,"Freaky Friday (feat. Chris Brown)","Lil Dicky",1134501,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
11,"Be Careful","Cardi B",1062804,https://open.spotify.com/track/2Yl4OmDby9iitgNWZPwxkd
12,JAPAN,"Famous Dex",1014014,https://open.spotify.com/track/5PTG6rrL6EPFD9E2QMI2pl
13,"Love Lies (with Normani)",Khalid,946391,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
14,"Ric Flair Drip (& Metro Boomin)",Offset,889667,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
15,"The Middle",Zedd,878313,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
16,"Powerglide (feat. Juicy J)","Rae Sremmurd",876235,https://open.spotify.com/track/2yUbCEiaolfSMluDo9RMmG
17,"One Kiss (with Dua Lipa)","Calvin Harris",812497,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
18,Mine,Bazzi,803430,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR
19,"All The Stars (with SZA)","Kendrick Lamar",789164,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
20,Moonlight,XXXTENTACION,756309,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
21,"Wasted Times","The Weeknd",724083,https://open.spotify.com/track/72TyiiduRmczEbDIEtKQdR
22,rockstar,"Post Malone",706640,https://open.spotify.com/track/2U7Hu2RaNQNRi7izoJyZaX
23,"I Fall Apart","Post Malone",695484,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
24,"King's Dead (with Kendrick Lamar, Future & James Blake)","Jay Rock",679140,https://open.spotify.com/track/51rXHuKN8Loc4sUlKPODgH
25,FRIENDS,Marshmello,677735,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
26,"Barbie Tingz","Nicki Minaj",675138,https://open.spotify.com/track/2qsQ8eVDPmobZpvDxQCVQu
27,"Stir Fry",Migos,671942,https://open.spotify.com/track/2UVbBKQOdFAekPTRsnkzcf
28,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",663706,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
29,"Playinwitme (feat. Kehlani)",KYLE,656964,https://open.spotify.com/track/43cFjTTCD9Cni4aSL0sORz
30,Esskeetit,"Lil Pump",654615,https://open.spotify.com/track/44KKhCyI0BGS6LvVyDqJtH
31,"I Do (feat. SZA)","Cardi B",647551,https://open.spotify.com/track/1f5PNhkNgUpvDEeZfcIlO1
32,"Bartier Cardi (feat. 21 Savage)","Cardi B",613757,https://open.spotify.com/track/0dIoGTQXDh1wVnhIiSyYEa
33,"Lemon - Drake Remix",N.E.R.D,605595,https://open.spotify.com/track/739vCwA3EpBSkk3uDsI2wB
34,Chun-Li,"Nicki Minaj",589944,https://open.spotify.com/track/2gTYVoQCUh0QNUaFix01ld
35,"Try Me","The Weeknd",587958,https://open.spotify.com/track/2poOAWEj1CStqTVPgIHZ8s
36,Delicate,"Taylor Swift",576562,https://open.spotify.com/track/6NFyWDv5CjfwuzoCkw47Xf
37,Nevermind,"Dennis Lloyd",573599,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
38,"Drip (feat. Migos)","Cardi B",571609,https://open.spotify.com/track/2qcG0nZ6S3zZV0UrkY5nFo
39,"In My Blood","Shawn Mendes",560217,https://open.spotify.com/track/79jX8RM5CgPqDKdGEKNW9K
40,1942,G-Eazy,556412,https://open.spotify.com/track/794QVQtFNy7hvtjQP1keQd
41,"Let Me",ZAYN,556041,https://open.spotify.com/track/7Fg342AJtNsIDdwCfX0paC
42,"PICK IT UP (feat. A$AP Rocky)","Famous Dex",544264,https://open.spotify.com/track/0dSIrRkA4PadGll16TgbnV
43,Everyday,Logic,542176,https://open.spotify.com/track/4EAV2cKiqKP5UPZmY6dejk
44,"Bodak Yellow","Cardi B",525583,https://open.spotify.com/track/6KBYefIoo7KydImq1uUQlL
45,"Ring (feat. Kehlani)","Cardi B",516902,https://open.spotify.com/track/5DfWF0jqMgZDCiu9zJENTA
46,"Red Roses (feat. Landon Cube)","Lil Skies",516494,https://open.spotify.com/track/3ZhTT6yjZwpPph5MIJ53XY
47,IDGAF,"Dua Lipa",493412,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
48,changes,XXXTENTACION,488096,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
49,"XO TOUR Llif3","Lil Uzi Vert",487253,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
50,Tequila,"Dan + Shay",467357,https://open.spotify.com/track/7Il2yWQmsqKgSkLQvHTPUI
51,"Best Life (feat. Chance The Rapper)","Cardi B",464300,https://open.spotify.com/track/00B7TZ0Xawar6NZ00JFomN
52,HUMBLE.,"Kendrick Lamar",460905,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
53,X,"Nicky Jam",455659,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
54,"Remind Me to Forget",Kygo,449787,https://open.spotify.com/track/6xTU6B6nFwKKTSZ9ySXS80
55,"New Freezer (feat. Kendrick Lamar)","Rich The Kid",449024,https://open.spotify.com/track/0eHCArTPhwUxatY7cEXRiK
56,"Pray For Me (with Kendrick Lamar)","The Weeknd",448889,https://open.spotify.com/track/4ofvoCdXq99vpMZO4Cfp8x
